doctor_id,first_name,last_name,specialization,license_number,department,years_experience,phone,email,consultation_fee
DOC0214,Lisa,Diaz,Intensivist,LIC-107790,Anesthesiology,32,555-4878,lisa.diaz92@hospitaldocs.com,225.61
DOC0215,Timothy,Cooper,Anesthesiologist,LIC-484795,Neurology,3,555-8917,timothy.cooper91@hospitaldocs.com,179
DOC0216,Justin,Morris,Orthopedic Surgeon,LIC-248989,Endocrinology,18,555-8617,justin.morris67@hospitaldocs.com,77.38
DOC0217,Brandon,Lopez,General Surgeon,LIC-595401,Orthopedics,35,555-6119,brandon.lopez79@hospitaldocs.com,68.47
DOC0218,Carol,Morgan,Cardiologist,LIC-591644,Pulmonology,33,555-8687,carol.morgan74@hospitaldocs.com,306.84
DOC0219,Rebecca,Rivera,Dermatologist,LIC-403257,Radiology,3,555-5981,rebecca.rivera94@hospitaldocs.com,324.76
DOC0220,Kimberly,Davis,Nephrologist,LIC-706224,Radiology,4,555-5780,kimberly.davis95@hospitaldocs.com,268.51
DOC0221,Andrew,Morales,Orthopedic Surgeon,LIC-232981,Endocrinology,5,555-5552,andrew.morales33@hospitaldocs.com,96.39
DOC0222,Emily,Scott,Gynecologist,LIC-114892,Pediatrics,12,555-3476,emily.scott85@hospitaldocs.com,206.33
DOC0223,Daniel,King,General Surgeon,LIC-608473,Radiology,34,555-1542,daniel.king44@hospitaldocs.com,394.43
DOC0224,Charles,Kim,Oncologist,LIC-978302,Nephrology,27,555-7277,charles.kim31@hospitaldocs.com,281.23
DOC0225,Raymond,Perez,Emergency Medicine Specialist,LIC-705822,ENT,4,555-5331,raymond.perez97@hospitaldocs.com,336.84
DOC0226,Michael,Perez,Pulmonologist,LIC-518114,Nephrology,20,555-8803,michael.perez96@hospitaldocs.com,381.89
DOC0227,Jonathan,Robinson,Urologist,LIC-816712,Urology,31,555-5302,jonathan.robinson19@hospitaldocs.com,235.65
DOC0228,Sharon,Johnson,Dermatologist,LIC-936039,Pulmonology,25,555-6172,sharon.johnson68@hospitaldocs.com,289.01
DOC0229,Jennifer,Gonzalez,Ophthalmologist,LIC-768387,ENT,28,555-5466,jennifer.gonzalez43@hospitaldocs.com,144.61
DOC0230,Richard,Allen,Anesthesiologist,LIC-510154,Pulmonology,16,555-4193,richard.allen67@hospitaldocs.com,168.09
DOC0231,Frank,White,Psychiatrist,LIC-674213,Cardiology,1,555-2113,frank.white2@hospitaldocs.com,193.94
DOC0232,Shirley,Wilson,Pulmonologist,LIC-468591,General Surgery,19,555-5127,shirley.wilson25@hospitaldocs.com,61.91
DOC0233,Helen,Lopez,Neurologist,LIC-722999,Emergency,8,555-2965,helen.lopez12@hospitaldocs.com,349.75
DOC0234,Thomas,Carter,Anesthesiologist,LIC-942216,Radiology,8,555-4018,thomas.carter33@hospitaldocs.com,153.1
DOC0235,Gregory,Martinez,Pulmonologist,LIC-389809,Gastroenterology,21,555-5216,gregory.martinez21@hospitaldocs.com,323.26
DOC0236,Emily,Davis,Urologist,LIC-507466,Psychiatry,4,555-5230,emily.davis34@hospitaldocs.com,112.28
DOC0237,William,Morales,Emergency Medicine Specialist,LIC-739947,Urology,12,555-9061,william.morales14@hospitaldocs.com,100.36
DOC0238,Jerry,Parker,Emergency Medicine Specialist,LIC-743790,Pediatrics,29,555-5243,jerry.parker14@hospitaldocs.com,62.2
DOC0239,Elizabeth,Kelly,Gynecologist,LIC-914992,Pulmonology,2,555-9154,elizabeth.kelly20@hospitaldocs.com,278.5
DOC0240,James,Jones,Urologist,LIC-379378,Oncology,22,555-7411,james.jones74@hospitaldocs.com,51.3
DOC0241,Patrick,Morales,Nephrologist,LIC-557239,Urology,5,555-9849,patrick.morales29@hospitaldocs.com,51.16
DOC0242,Frank,Morris,Pediatrician,LIC-694798,Ophthalmology,23,555-6463,frank.morris88@hospitaldocs.com,155.99
DOC0243,Linda,Lopez,ENT Specialist,LIC-660596,Psychiatry,6,555-8530,linda.lopez98@hospitaldocs.com,318.28
DOC0244,Samuel,Sanchez,Radiologist,LIC-681409,Neurology,25,555-4129,samuel.sanchez39@hospitaldocs.com,293.56
DOC0245,Susan,Rivera,Nephrologist,LIC-188984,Pulmonology,13,555-3292,susan.rivera5@hospitaldocs.com,117.58
DOC0246,Raymond,Ramos,General Surgeon,LIC-612997,Urology,5,555-9856,raymond.ramos83@hospitaldocs.com,157.71
DOC0247,Jonathan,Edwards,Cardiologist,LIC-138842,Psychiatry,4,555-6533,jonathan.edwards93@hospitaldocs.com,64.99
DOC0248,Jessica,Ramirez,Endocrinologist,LIC-580636,Ophthalmology,10,555-4817,jessica.ramirez10@hospitaldocs.com,62.91
DOC0249,Charles,Morales,Cardiologist,LIC-594109,ICU,3,555-4976,charles.morales90@hospitaldocs.com,277.08
DOC0250,Mary,Thompson,Neurologist,LIC-422266,Pediatrics,30,555-3796,mary.thompson76@hospitaldocs.com,72.39
DOC0251,Susan,Anderson,Nephrologist,LIC-723879,ICU,15,555-2033,susan.anderson26@hospitaldocs.com,199.17
DOC0252,Jack,Phillips,Psychiatrist,LIC-226670,Anesthesiology,35,555-3250,jack.phillips42@hospitaldocs.com,342.75
DOC0253,Margaret,Garcia,Anesthesiologist,LIC-281873,Psychiatry,5,555-2978,margaret.garcia36@hospitaldocs.com,99.43
DOC0254,Rebecca,Perez,ENT Specialist,LIC-680290,Radiology,29,555-4991,rebecca.perez75@hospitaldocs.com,64.24
DOC0255,Richard,Ward,Urologist,LIC-915437,Radiology,2,555-8978,richard.ward11@hospitaldocs.com,52.22
DOC0256,Daniel,Lopez,Anesthesiologist,LIC-397514,Gastroenterology,31,555-3079,daniel.lopez27@hospitaldocs.com,100.08
DOC0257,Paul,Gutierrez,Pulmonologist,LIC-532046,General Surgery,12,555-1616,paul.gutierrez77@hospitaldocs.com,113
DOC0258,Amy,Ward,Orthopedic Surgeon,LIC-757658,Dermatology,23,555-7861,amy.ward1@hospitaldocs.com,245.2
DOC0259,Matthew,Thomas,Endocrinologist,LIC-200331,ICU,24,555-9842,matthew.thomas65@hospitaldocs.com,126.75
DOC0260,Jerry,Clark,Gynecologist,LIC-155646,Emergency,8,555-3444,jerry.clark88@hospitaldocs.com,345.32
DOC0261,Jacob,Murphy,Radiologist,LIC-267520,Neurology,4,555-6966,jacob.murphy37@hospitaldocs.com,123.36
DOC0262,Steven,Nelson,Intensivist,LIC-944264,Pulmonology,3,555-2710,steven.nelson95@hospitaldocs.com,68.36
DOC0263,Jonathan,Thompson,Radiologist,LIC-923648,Cardiology,32,555-9436,jonathan.thompson15@hospitaldocs.com,74.8
DOC0264,Donald,Cruz,Anesthesiologist,LIC-707924,Psychiatry,27,555-4256,donald.cruz96@hospitaldocs.com,286.9
DOC0265,Dorothy,Robinson,Pediatrician,LIC-441974,General Surgery,7,555-4884,dorothy.robinson95@hospitaldocs.com,194.41
DOC0266,Betty,Carter,General Surgeon,LIC-177101,Nephrology,32,555-1890,betty.carter56@hospitaldocs.com,100.73
DOC0267,Brandon,Collins,Radiologist,LIC-506145,ENT,9,555-8499,brandon.collins93@hospitaldocs.com,117.95
DOC0268,Amanda,Wright,Emergency Medicine Specialist,LIC-452207,Oncology,3,555-1977,amanda.wright36@hospitaldocs.com,97.78
DOC0269,Cynthia,Collins,Gastroenterologist,LIC-279517,Psychiatry,15,555-5835,cynthia.collins78@hospitaldocs.com,104.88
DOC0270,Samantha,Ward,Radiologist,LIC-706204,Ophthalmology,15,555-2416,samantha.ward53@hospitaldocs.com,349.94
DOC0271,Gary,Ramirez,Anesthesiologist,LIC-596489,Pulmonology,18,555-1237,gary.ramirez94@hospitaldocs.com,199.84
DOC0272,Ashley,Young,Psychiatrist,LIC-555342,Anesthesiology,15,555-3440,ashley.young74@hospitaldocs.com,364.39
DOC0273,Rebecca,Garcia,Neurologist,LIC-593515,Endocrinology,3,555-7974,rebecca.garcia68@hospitaldocs.com,188.01
DOC0274,Rachel,Gonzalez,Pulmonologist,LIC-619344,General Surgery,6,555-1203,rachel.gonzalez89@hospitaldocs.com,306.13
DOC0275,Margaret,Taylor,ENT Specialist,LIC-410158,General Surgery,6,555-1260,margaret.taylor62@hospitaldocs.com,284.16
DOC0276,Christopher,Collins,Anesthesiologist,LIC-883586,Anesthesiology,2,555-8452,christopher.collins60@hospitaldocs.com,320.14
DOC0277,Patrick,Phillips,Radiologist,LIC-928226,ENT,30,555-1022,patrick.phillips81@hospitaldocs.com,74.74
DOC0278,Frank,Nelson,Endocrinologist,LIC-134303,Dermatology,28,555-5420,frank.nelson90@hospitaldocs.com,381.13
DOC0279,Anna,Kelly,Emergency Medicine Specialist,LIC-925954,Orthopedics,22,555-1898,anna.kelly66@hospitaldocs.com,380.86
DOC0280,Alexander,Campbell,Neurologist,LIC-216356,Urology,24,555-8624,alexander.campbell80@hospitaldocs.com,64.31
DOC0281,George,Thompson,Ophthalmologist,LIC-839113,Orthopedics,14,555-3267,george.thompson43@hospitaldocs.com,133.52
DOC0282,Joseph,Morris,Anesthesiologist,LIC-836984,Emergency,15,555-6250,joseph.morris46@hospitaldocs.com,364.28
DOC0283,Nicholas,Diaz,Gynecologist,LIC-157105,Orthopedics,24,555-6656,nicholas.diaz58@hospitaldocs.com,220.18
DOC0284,Shirley,Thomas,Nephrologist,LIC-844305,Ophthalmology,35,555-5788,shirley.thomas58@hospitaldocs.com,267.33
DOC0285,Alexander,Rodriguez,Emergency Medicine Specialist,LIC-580115,Orthopedics,6,555-7400,alexander.rodriguez23@hospitaldocs.com,150.93
DOC0286,Elizabeth,Wilson,Radiologist,LIC-389346,Pediatrics,10,555-9131,elizabeth.wilson20@hospitaldocs.com,356.25
DOC0287,Eric,Williams,Dermatologist,LIC-536770,Ophthalmology,9,555-8764,eric.williams45@hospitaldocs.com,197.05
DOC0288,Jack,Williams,Dermatologist,LIC-298244,Orthopedics,2,555-4806,jack.williams67@hospitaldocs.com,275.64
DOC0289,Timothy,Howard,Psychiatrist,LIC-787614,Psychiatry,32,555-9686,timothy.howard71@hospitaldocs.com,205.84
DOC0290,Joshua,Reed,Oncologist,LIC-927691,Dermatology,11,555-5259,joshua.reed30@hospitaldocs.com,219.49
DOC0291,Andrew,Miller,Oncologist,LIC-470274,Dermatology,30,555-3725,andrew.miller80@hospitaldocs.com,373.45
DOC0292,Carolyn,Morgan,Dermatologist,LIC-291134,Radiology,10,555-3641,carolyn.morgan31@hospitaldocs.com,90.92
DOC0293,Kenneth,Kelly,Oncologist,LIC-562305,Gynecology,24,555-4022,kenneth.kelly27@hospitaldocs.com,246.87
DOC0294,Robert,Green,ENT Specialist,LIC-255130,ENT,29,555-9845,robert.green21@hospitaldocs.com,236.78
DOC0295,Jessica,Brown,Urologist,LIC-623676,Oncology,30,555-6246,jessica.brown20@hospitaldocs.com,51.5
DOC0296,Jack,Cooper,Endocrinologist,LIC-447372,Dermatology,31,555-5748,jack.cooper97@hospitaldocs.com,393.24
DOC0297,Pamela,Jackson,Anesthesiologist,LIC-863933,Pulmonology,22,555-2840,pamela.jackson94@hospitaldocs.com,217.64
DOC0298,Jennifer,Moore,Ophthalmologist,LIC-222553,Dermatology,2,555-7580,jennifer.moore80@hospitaldocs.com,344.31
DOC0299,Laura,Rivera,Orthopedic Surgeon,LIC-442220,Neurology,13,555-9625,laura.rivera29@hospitaldocs.com,323.45
DOC0300,Jerry,Scott,Emergency Medicine Specialist,LIC-123643,Orthopedics,35,555-8298,jerry.scott87@hospitaldocs.com,285.05
DOC0301,Barbara,Rogers,Urologist,LIC-303895,Nephrology,21,555-9381,barbara.rogers8@hospitaldocs.com,367.96
DOC0302,George,Gomez,Oncologist,LIC-850742,Gastroenterology,24,555-7326,george.gomez48@hospitaldocs.com,54.27
DOC0303,Brian,Hall,Dermatologist,LIC-567220,Ophthalmology,6,555-4533,brian.hall94@hospitaldocs.com,360.73
DOC0304,Jack,Turner,Pulmonologist,LIC-402654,Radiology,28,555-7786,jack.turner18@hospitaldocs.com,342.43
DOC0305,Scott,Lopez,Oncologist,LIC-317877,Dermatology,31,555-9606,scott.lopez43@hospitaldocs.com,73.14
DOC0306,Emma,Carter,Orthopedic Surgeon,LIC-106940,Gastroenterology,18,555-7791,emma.carter23@hospitaldocs.com,244.53
DOC0307,Patrick,Reed,Oncologist,LIC-308936,Radiology,25,555-5742,patrick.reed71@hospitaldocs.com,221.7
DOC0308,Joshua,Howard,Dermatologist,LIC-618101,Ophthalmology,30,555-4678,joshua.howard4@hospitaldocs.com,326.93
DOC0309,Karen,King,Dermatologist,LIC-771670,Nephrology,8,555-5713,karen.king54@hospitaldocs.com,112.78
DOC0310,Frank,Young,Cardiologist,LIC-225152,Gynecology,32,555-2093,frank.young77@hospitaldocs.com,310.95
DOC0311,Justin,Morris,Anesthesiologist,LIC-557250,Gynecology,31,555-2959,justin.morris48@hospitaldocs.com,229.38
DOC0312,Pamela,Williams,Gynecologist,LIC-270757,Anesthesiology,4,555-3394,pamela.williams41@hospitaldocs.com,211.37
DOC0313,Frank,Moore,ENT Specialist,LIC-271241,Neurology,18,555-6917,frank.moore54@hospitaldocs.com,272.69
DOC0314,Amanda,Miller,Dermatologist,LIC-405831,Endocrinology,5,555-9419,amanda.miller25@hospitaldocs.com,318.25
DOC0315,Lisa,Gonzalez,Intensivist,LIC-889188,Radiology,35,555-6285,lisa.gonzalez41@hospitaldocs.com,339.39
DOC0316,Debra,Hill,Gynecologist,LIC-818739,ENT,7,555-9755,debra.hill75@hospitaldocs.com,173.07
DOC0317,Charles,Johnson,Oncologist,LIC-643341,Dermatology,24,555-8944,charles.johnson53@hospitaldocs.com,169.11
DOC0318,Christopher,Wilson,Emergency Medicine Specialist,LIC-262062,Endocrinology,15,555-4087,christopher.wilson72@hospitaldocs.com,264.7
DOC0319,Shirley,Morgan,Ophthalmologist,LIC-836378,Pediatrics,27,555-8544,shirley.morgan10@hospitaldocs.com,90.8
DOC0320,Thomas,Williams,Nephrologist,LIC-465124,Dermatology,24,555-3277,thomas.williams57@hospitaldocs.com,361.4
DOC0321,Scott,Gutierrez,Psychiatrist,LIC-280572,Dermatology,2,555-2943,scott.gutierrez29@hospitaldocs.com,95.05
DOC0322,Frank,Jackson,General Surgeon,LIC-422361,Oncology,14,555-3133,frank.jackson11@hospitaldocs.com,198.68
DOC0323,Heather,Anderson,Orthopedic Surgeon,LIC-119719,Nephrology,28,555-1696,heather.anderson26@hospitaldocs.com,87.74
DOC0324,Gregory,Rogers,Anesthesiologist,LIC-162144,Nephrology,8,555-5145,gregory.rogers6@hospitaldocs.com,73.19
DOC0325,Christine,Johnson,Pediatrician,LIC-920375,Pediatrics,14,555-4277,christine.johnson24@hospitaldocs.com,284.71
DOC0326,Patricia,Lopez,Oncologist,LIC-986950,Gynecology,23,555-6770,patricia.lopez21@hospitaldocs.com,349.3
DOC0327,Diane,Ward,General Surgeon,LIC-629435,Anesthesiology,5,555-2623,diane.ward75@hospitaldocs.com,317.14
DOC0328,Shirley,Ramirez,Emergency Medicine Specialist,LIC-395548,Radiology,35,555-1070,shirley.ramirez93@hospitaldocs.com,84.54
DOC0329,Margaret,Cook,Nephrologist,LIC-484264,Anesthesiology,12,555-8203,margaret.cook87@hospitaldocs.com,385.21
DOC0330,Lisa,Rivera,Urologist,LIC-544692,Emergency,33,555-4728,lisa.rivera53@hospitaldocs.com,89.5
DOC0331,Kenneth,Thomas,Pulmonologist,LIC-215674,Endocrinology,9,555-9123,kenneth.thomas98@hospitaldocs.com,176.44
DOC0332,Andrew,Bailey,Neurologist,LIC-186243,Psychiatry,32,555-2895,andrew.bailey50@hospitaldocs.com,149.26
DOC0333,Scott,Flores,Pulmonologist,LIC-336845,Ophthalmology,27,555-5761,scott.flores55@hospitaldocs.com,116.07
DOC0334,William,Stewart,ENT Specialist,LIC-288006,Cardiology,32,555-2723,william.stewart51@hospitaldocs.com,203.32
DOC0335,Gregory,Hernandez,Pediatrician,LIC-250331,Urology,26,555-2666,gregory.hernandez95@hospitaldocs.com,373.85
DOC0336,Nancy,Rodriguez,ENT Specialist,LIC-308757,Psychiatry,13,555-7623,nancy.rodriguez16@hospitaldocs.com,131.5
DOC0337,Jason,Murphy,Gynecologist,LIC-901968,Anesthesiology,18,555-7557,jason.murphy46@hospitaldocs.com,216.54
DOC0338,Nicole,Phillips,Nephrologist,LIC-636256,Gynecology,10,555-8448,nicole.phillips14@hospitaldocs.com,92.77
DOC0339,Gary,Murphy,General Surgeon,LIC-758894,Oncology,2,555-2631,gary.murphy95@hospitaldocs.com,68.5
DOC0340,William,Murphy,Cardiologist,LIC-287795,Urology,21,555-3502,william.murphy39@hospitaldocs.com,267.69
DOC0341,Richard,Martinez,Endocrinologist,LIC-904857,Nephrology,30,555-4308,richard.martinez38@hospitaldocs.com,281.73
DOC0342,Gary,Cook,Gynecologist,LIC-668787,Psychiatry,35,555-9955,gary.cook3@hospitaldocs.com,383.4
DOC0343,Robert,Parker,Pediatrician,LIC-502265,Pulmonology,21,555-7165,robert.parker57@hospitaldocs.com,210.88
DOC0344,Robert,Thompson,Ophthalmologist,LIC-791442,Dermatology,11,555-9052,robert.thompson56@hospitaldocs.com,97.07
DOC0345,Carolyn,Roberts,Nephrologist,LIC-901123,Pediatrics,32,555-9837,carolyn.roberts74@hospitaldocs.com,214.44
DOC0346,Brenda,Lee,Endocrinologist,LIC-158444,Urology,17,555-9105,brenda.lee76@hospitaldocs.com,389.8
DOC0347,Brandon,Rivera,Dermatologist,LIC-436050,Neurology,2,555-1739,brandon.rivera17@hospitaldocs.com,342.93
DOC0348,Brian,Howard,Cardiologist,LIC-902364,Psychiatry,25,555-2594,brian.howard55@hospitaldocs.com,170.8
DOC0349,Amanda,Evans,ENT Specialist,LIC-159191,General Surgery,16,555-4844,amanda.evans83@hospitaldocs.com,159.23
DOC0350,David,Rodriguez,Dermatologist,LIC-220031,Psychiatry,11,555-1322,david.rodriguez69@hospitaldocs.com,164.14
DOC0351,Ryan,Diaz,Anesthesiologist,LIC-639764,Gastroenterology,18,555-1334,ryan.diaz90@hospitaldocs.com,214.39
DOC0352,John,Green,Urologist,LIC-698059,Urology,21,555-2601,john.green63@hospitaldocs.com,85.02
DOC0353,Alexander,Clark,Psychiatrist,LIC-620860,Endocrinology,22,555-3730,alexander.clark79@hospitaldocs.com,154.83
DOC0354,Sharon,Sanchez,Nephrologist,LIC-766311,Orthopedics,35,555-4507,sharon.sanchez37@hospitaldocs.com,142.8
DOC0355,Joshua,Kelly,Urologist,LIC-943687,General Surgery,6,555-2552,joshua.kelly76@hospitaldocs.com,167.89
DOC0356,William,Reed,Endocrinologist,LIC-598355,Gastroenterology,14,555-6690,william.reed10@hospitaldocs.com,278.04
DOC0357,Joshua,Cook,Dermatologist,LIC-553939,Ophthalmology,21,555-4278,joshua.cook54@hospitaldocs.com,190.81
DOC0358,Helen,Rogers,Pulmonologist,LIC-804181,Ophthalmology,12,555-1304,helen.rogers81@hospitaldocs.com,296.17
DOC0359,Lisa,Kelly,Nephrologist,LIC-323297,Pulmonology,18,555-9728,lisa.kelly79@hospitaldocs.com,348.47
DOC0360,Sharon,Reed,Neurologist,LIC-647639,Emergency,24,555-8577,sharon.reed19@hospitaldocs.com,134.13
DOC0361,Maria,Hill,Gastroenterologist,LIC-530189,Psychiatry,5,555-4335,maria.hill53@hospitaldocs.com,143.43
DOC0362,Andrew,Lee,Gynecologist,LIC-820219,ICU,16,555-7649,andrew.lee31@hospitaldocs.com,89.75
DOC0363,Matthew,Brown,General Surgeon,LIC-935762,Dermatology,30,555-8952,matthew.brown72@hospitaldocs.com,396.95
DOC0364,Jason,Jones,Emergency Medicine Specialist,LIC-267099,Gynecology,9,555-1477,jason.jones34@hospitaldocs.com,326.38
DOC0365,Emily,Peterson,Radiologist,LIC-775591,Neurology,32,555-1326,emily.peterson8@hospitaldocs.com,350.85
DOC0366,David,Green,Intensivist,LIC-412453,Orthopedics,27,555-6954,david.green86@hospitaldocs.com,280.1
DOC0367,Barbara,Gomez,Oncologist,LIC-347507,Pediatrics,33,555-2976,barbara.gomez67@hospitaldocs.com,282.48
DOC0368,Justin,Ortiz,Gynecologist,LIC-620566,Orthopedics,16,555-3003,justin.ortiz99@hospitaldocs.com,332.34
DOC0369,Kevin,Howard,Urologist,LIC-944986,General Surgery,28,555-4571,kevin.howard19@hospitaldocs.com,87.38
DOC0370,Margaret,Scott,Pulmonologist,LIC-528212,Gynecology,4,555-9034,margaret.scott69@hospitaldocs.com,181.15
DOC0371,Joseph,Green,Ophthalmologist,LIC-544366,Nephrology,16,555-5550,joseph.green19@hospitaldocs.com,177.05
DOC0372,Carolyn,Mitchell,Dermatologist,LIC-122097,ICU,3,555-1895,carolyn.mitchell89@hospitaldocs.com,371.11
DOC0373,Christine,Walker,Gynecologist,LIC-679577,Urology,20,555-6945,christine.walker88@hospitaldocs.com,92.72
DOC0374,Donald,Cruz,Urologist,LIC-108248,Urology,17,555-5929,donald.cruz12@hospitaldocs.com,377.71
DOC0375,Dennis,Walker,Dermatologist,LIC-320606,Radiology,29,555-6196,dennis.walker99@hospitaldocs.com,275.55
DOC0376,Robert,Scott,Orthopedic Surgeon,LIC-963185,Nephrology,31,555-7765,robert.scott43@hospitaldocs.com,301.09
DOC0377,Richard,Lee,Gynecologist,LIC-630930,Orthopedics,23,555-7895,richard.lee78@hospitaldocs.com,305.23
DOC0378,Stephen,Adams,Pulmonologist,LIC-828980,Cardiology,4,555-4010,stephen.adams81@hospitaldocs.com,205.19
DOC0379,Samuel,Moore,Cardiologist,LIC-520124,Emergency,20,555-6140,samuel.moore74@hospitaldocs.com,78.78
DOC0380,Christopher,Young,Endocrinologist,LIC-848226,Oncology,27,555-6233,christopher.young58@hospitaldocs.com,217.43
DOC0381,Jack,Moore,Gynecologist,LIC-281905,Anesthesiology,21,555-5616,jack.moore26@hospitaldocs.com,79.54
DOC0382,Melissa,White,Urologist,LIC-495648,Anesthesiology,15,555-1339,melissa.white3@hospitaldocs.com,373.09
DOC0383,Samuel,Ward,General Surgeon,LIC-193298,Pulmonology,13,555-5289,samuel.ward90@hospitaldocs.com,348.14
DOC0384,Michael,Phillips,Intensivist,LIC-549737,ICU,17,555-3445,michael.phillips12@hospitaldocs.com,385.31
DOC0385,Nancy,Reed,Pediatrician,LIC-114800,Endocrinology,28,555-8433,nancy.reed87@hospitaldocs.com,222.95
DOC0386,Mark,Clark,Emergency Medicine Specialist,LIC-952924,Gynecology,19,555-9096,mark.clark49@hospitaldocs.com,95.57
DOC0387,Anthony,Kim,Emergency Medicine Specialist,LIC-964119,Dermatology,13,555-7853,anthony.kim24@hospitaldocs.com,192.98
DOC0388,Charles,Brown,Dermatologist,LIC-374516,General Surgery,29,555-5068,charles.brown48@hospitaldocs.com,254.02
DOC0389,Samuel,Collins,Orthopedic Surgeon,LIC-110821,Nephrology,9,555-6296,samuel.collins89@hospitaldocs.com,189.14
DOC0390,Margaret,Roberts,Gastroenterologist,LIC-871861,ICU,17,555-2196,margaret.roberts13@hospitaldocs.com,244.95
DOC0391,Michael,Nelson,General Surgeon,LIC-593808,ENT,3,555-1087,michael.nelson33@hospitaldocs.com,226.59
DOC0392,Edward,Hill,Urologist,LIC-803869,ENT,9,555-1673,edward.hill75@hospitaldocs.com,112.78
DOC0393,Nancy,Cook,Nephrologist,LIC-455652,Pulmonology,9,555-2468,nancy.cook41@hospitaldocs.com,298.59
DOC0394,Sharon,Jackson,Gynecologist,LIC-222517,Psychiatry,3,555-3095,sharon.jackson64@hospitaldocs.com,355.09
DOC0395,Emily,Campbell,Gastroenterologist,LIC-396668,Gynecology,17,555-9470,emily.campbell41@hospitaldocs.com,202.52
DOC0396,Nancy,Green,Nephrologist,LIC-900771,Oncology,29,555-1871,nancy.green25@hospitaldocs.com,102.02
DOC0397,Sandra,White,Neurologist,LIC-593090,Gynecology,11,555-8653,sandra.white56@hospitaldocs.com,90.61
DOC0398,Amy,Garcia,Pulmonologist,LIC-473838,Ophthalmology,32,555-8499,amy.garcia64@hospitaldocs.com,89.37
DOC0399,Raymond,Jackson,Pediatrician,LIC-466586,Orthopedics,14,555-5654,raymond.jackson24@hospitaldocs.com,342.23
DOC0400,Maria,Rogers,Gynecologist,LIC-690607,Anesthesiology,14,555-1067,maria.rogers68@hospitaldocs.com,318.4
DOC0401,Lisa,Turner,Orthopedic Surgeon,LIC-358114,Nephrology,7,555-6384,lisa.turner4@hospitaldocs.com,149.5
DOC0402,Debra,Thomas,Urologist,LIC-491704,Anesthesiology,7,555-6300,debra.thomas20@hospitaldocs.com,60.11
DOC0403,Ryan,Morris,Pulmonologist,LIC-758879,Gynecology,1,555-6397,ryan.morris6@hospitaldocs.com,279.66
DOC0404,Laura,Adams,Anesthesiologist,LIC-235602,Emergency,4,555-5635,laura.adams42@hospitaldocs.com,329.35
DOC0405,Maria,Martinez,Ophthalmologist,LIC-731548,Urology,6,555-7534,maria.martinez33@hospitaldocs.com,112.3
DOC0406,Jerry,Phillips,Orthopedic Surgeon,LIC-121508,Emergency,11,555-7365,jerry.phillips52@hospitaldocs.com,149.73
DOC0407,Dennis,Martin,Pediatrician,LIC-413048,Nephrology,28,555-6080,dennis.martin88@hospitaldocs.com,261.23
DOC0408,Amanda,Gonzalez,ENT Specialist,LIC-637555,Emergency,32,555-8298,amanda.gonzalez50@hospitaldocs.com,216.75
DOC0409,Larry,Kim,Gastroenterologist,LIC-194604,Gastroenterology,24,555-4053,larry.kim56@hospitaldocs.com,270.74
DOC0410,Barbara,Garcia,Endocrinologist,LIC-458345,Pulmonology,15,555-3540,barbara.garcia64@hospitaldocs.com,234.55
DOC0411,Samuel,Ortiz,Orthopedic Surgeon,LIC-404824,Pulmonology,28,555-2297,samuel.ortiz62@hospitaldocs.com,155.14
DOC0412,Thomas,Hill,General Surgeon,LIC-648501,Gastroenterology,19,555-1781,thomas.hill71@hospitaldocs.com,76.79
DOC0413,Jennifer,Rogers,Pediatrician,LIC-635456,Gastroenterology,27,555-2548,jennifer.rogers60@hospitaldocs.com,281.3
DOC0414,Larry,Allen,ENT Specialist,LIC-367240,Anesthesiology,6,555-9248,larry.allen3@hospitaldocs.com,89.88
DOC0415,Gregory,Reyes,Radiologist,LIC-924366,Radiology,26,555-1741,gregory.reyes11@hospitaldocs.com,195.69
DOC0416,Patrick,Hill,Psychiatrist,LIC-715732,Pulmonology,29,555-5342,patrick.hill44@hospitaldocs.com,388.35
DOC0417,Lisa,Ramirez,Radiologist,LIC-182020,ICU,17,555-2742,lisa.ramirez56@hospitaldocs.com,237.03
DOC0418,James,Gomez,Pediatrician,LIC-113950,Radiology,31,555-8539,james.gomez89@hospitaldocs.com,191.78
DOC0419,Gregory,Cox,Nephrologist,LIC-417508,ICU,24,555-7471,gregory.cox39@hospitaldocs.com,80.67
DOC0420,Sarah,Johnson,Emergency Medicine Specialist,LIC-217348,Cardiology,13,555-1439,sarah.johnson27@hospitaldocs.com,218.39
DOC0421,Charles,Walker,Gastroenterologist,LIC-982995,Ophthalmology,13,555-2410,charles.walker39@hospitaldocs.com,319.4
DOC0422,Charles,Stewart,Gastroenterologist,LIC-122876,Pediatrics,11,555-3497,charles.stewart95@hospitaldocs.com,295.91
DOC0423,Gary,Stewart,Cardiologist,LIC-571351,Anesthesiology,16,555-4298,gary.stewart38@hospitaldocs.com,249.3
DOC0424,Ronald,Miller,Psychiatrist,LIC-108256,Pediatrics,28,555-7810,ronald.miller64@hospitaldocs.com,307.98
DOC0425,Scott,Peterson,Dermatologist,LIC-138815,Nephrology,26,555-8964,scott.peterson66@hospitaldocs.com,256.86
DOC0426,Brandon,Morales,General Surgeon,LIC-848987,Neurology,34,555-1311,brandon.morales55@hospitaldocs.com,251.74
